"type_maison","commodites","localite","loyer","telephone","date_publication"
"mini villa","2 chambres, cuisine, douche","garghin","75000","74 05 32 53","2023-12-08"
"villa","4 chambres, carrelee, cuisine, douche, plafonnee, ventilee, vitree","kamboincé","470000","70 36 73 03","2023-12-07"
"chambre salon","carrele, cuisine, douche, ventile, vitre","bonheur-ville","35000","66 92 73 75","2023-12-07"
"mini villa","cuisine, douche, garage, placards","cité azimo","100000","69 85 85 59","2023-12-07"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","pissy","60000","69 01 07 75","2023-12-07"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","sakoula","50000","69 01 07 75","2023-12-07"
"chambre salon","cuisine, douche, plafonne","tanghin","35000","79 31 67 00","2023-12-07"
"chambre salon","cour commune, cuisine, douche, plafonne, vitre","rayongo","40000","64 64 52 20","2023-12-07"
"chambre salon","ventilé, Carrellé","sakoula","40000","62 84 18 39","2023-12-07"
"villa","ventilé, Carrellé","goughin sud","40000","66 92 73 75","2023-12-07"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","cité azimo","75000","69 01 07 75","2023-12-07"
"chambre salon","carrele, courunique, douche, plafonne, vitre","bonheur-ville","40000","69 01 07 75","2023-12-07"
"villa","ventilé, Carrellé","rotonde","100000","79 31 67 00","2023-12-07"
"villa","ventilé, Carrellé","toeghin","15000","66 92 73 75","2023-12-07"
"chambre salon","carrele, cuisine, douche, garage, ventile, vitre","sakoula","125000","78 42 75 00","2023-12-07"
"villa","ventilé, Carrellé","tanghin","30000","79 31 67 00","2023-12-07"
"villa","2 chambres, chauffe eau, climatisee, cuisine, douche, garage, placard","djikof","100000","66 13 44 60","2023-12-07"
"villa","ventilé, Carrellé","kamboincé","60000","70 36 73 03","2023-12-07"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","noncin","40000","69 01 07 75","2023-12-06"
"chambre salon","carrele, courcommune, douche, plafonne, ventile, vitre","tanghin","35000","69 01 07 75","2023-12-06"
"chambre salon","auvent, carrele, courcommune, douche, plafonne, ventile, vitre","rimkiéta","35000","69 01 07 75","2023-12-06"
"chambre salon","carrele, courcommune, douche interne, plafonne, ventile, vitre","tanghin","35000","69 01 07 75","2023-12-06"
"villa","03 chambres, climatise, cour unique, cuisine, douche, garage, placard, ventile, vitre","cité azimo","25000","74 05 32 53","2023-12-06"
"chambre salon","douche, plafonne, ventile, vitre","rayongo","30000","64 64 52 20","2023-12-06"
"chambre salon","cour commune, douche","tampouy","100000","74 92 19 26","2023-12-06"
"chambre salon","carrelee, cour commune, cuisine, douche, plafonnee, ventilee, vitree","kamboincé","50000","70 36 73 03","2023-12-06"
"villa","2 chambres, carrelee, cuisine, douche, plafonnee, ventilee, vitree","tampouy","300000","70 36 73 03","2023-12-06"
"chambre salon","carrele, cour unique, cuisine, douche, garage, placards, plafonne, ventilee, vitre","gandin","500000","64 64 52 20","2023-12-06"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, placards, plafonne, ventile, vitre","tampouy","45000","69 01 07 75","2023-12-06"
"villa","03 chambres, climatise, cour unique, cuisine, douche, garage, placard, ventile, vitre","cité azimo","25000","74 05 32 53","2023-12-06"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","tanghin","100000","69 01 07 75","2023-12-06"
"chambre salon","douche, plafonne, ventile, vitre","camp militaire","40000","64 64 52 20","2023-12-06"
"chambre salon","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile","sakoula","50000","69 01 07 75","2023-12-06"
"chambre salon","cuisine, douche","pissy","100000","66 92 73 75","2023-12-06"
"mini villa","2 chambres, cuisine, douche","garghin","80000","74 05 32 53","2023-12-06"
"chambre salon","cour commune, cuisine, douche, plafonne, vitre","rayongo","40000","64 64 52 20","2023-12-06"
"mini villa","2 chambres, cuisine, douche","cité azimo","125000","74 05 32 53","2023-12-05"
"chambre salon","cuisine, douche, garage","tanghin","100000","79 31 67 00","2023-12-05"
"chambre salon","cuisine, douche","nagrin","45000","74 05 32 53","2023-12-05"
"mini villa","auvent, carrele, courunique, cuisine, douche, garage, plafonne, ventile, vitre","sambin barrage","75000","69 01 07 75","2023-12-05"
"mini villa","cuisine, douche, garage, placards","cité azimo","100000","64 64 52 20","2023-12-05"
"chambre salon","cuisine, douche","nagrin","60000","74 05 32 53","2023-12-05"
"chambre salon","cuisine, douche","balkuy","50000","","2023-12-05"
"chambre salon","auvent, carrele, courcommune, douche interne, plafonne, ventile, vitre","tanghin","35000","69 01 07 75","2023-12-05"
"chambre salon","douche, plafonne","bonheur-ville","30000","66 92 73 75","2023-12-05"
