"type_maison","commodites","localite","loyer","telephone","date_publication"
"chambre salon","cuisine, douche, ventile, vitre","bonheur-ville","35000","66 92 73 75","2023-11-02"
"chambre salon","carrele, courcommune, douche, placards, plafonne, ventile, vitre","tanghin","30000","69 01 07 75","2023-11-02"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile, vitre","tanghin","25000","69 01 07 75","2023-11-01"
"chambre salon","carrele, cour commune, plafonne, vitre","saint léon","50000","66 92 73 75","2023-11-01"
"villa","ventilé, Carrellé","kamsonghin","700000","62 84 18 39","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","kankamsin","125000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, ventile","kouritenga","200000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, garage, placard, plafonne, ventile","sambin barrage","75000","79 31 67 00","2023-11-01"
"chambre salon","cour unique, cuisine, douche, garage","wayalghin","75000","70 36 73 03","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","sakoula","50000","66 92 73 75","2023-11-01"
"chambre salon","cour commune, plafonnee, ventilee","toeghin","30000","66 92 73 75","2023-11-01"
"chambre salon","carrele, courunique, cuisine, douche interne, plafonne, ventile","toeghin","70000","69 01 07 75","2023-11-01"
"chambre salon","carrele, cour unique, cuisine, douche, garage, plafonne, vitre","sakoula","150000","66 92 73 75","2023-11-01"
"chambre salon","auvent, carrele, courcommune, cuisine, douche, plafonne, ventile","sakoula","25000","69 01 07 75","2023-11-01"
"chambre salon","douche, plafonne","université de ouagadougou","40000","66 92 73 75","2023-11-01"
"chambre salon","cuisine, douche, ventile, vitre","pissy","100000","","2023-11-01"
"chambre salon","carrelee, cour commune, douche interne, plafonnee, vitree","kouritenga","30000","66 92 73 75","2023-11-01"
"villa","2 chambres, cuisine, douche","cité azimo","150000","74 05 32 53","2023-11-01"
